시·도,시·군·구,읍·면·동,구간거리 (km),40FT 컨테이너,20FT 컨테이너
충청북도,청주시 흥덕구,강서1동,287,"871,800","778,600"
충청북도,청주시 흥덕구,강서2동,288,"873,800","780,300"
충청북도,청주시 청원구,내수읍,303,"908,000","808,400"
충청북도,청주시 청원구,오창읍,299,"897,300","799,500"
충청북도,청주시 청원구,북이면,304,"910,100","810,200"
충청북도,보은군,보은읍,250,"791,800","692,900"
충청북도,보은군,장안면,239,"767,500","666,700"
충청북도,보은군,마로면,242,"774,100","672,400"
충청북도,보은군,삼승면,241,"771,900","670,400"
충청북도,보은군,내북면,259,"811,400","708,800"
충청북도,옥천군,옥천읍,247,"785,200","682,000"
충청북도,옥천군,청산면,228,"743,200","645,600"
충청북도,영동군,영동읍,218,"720,900","626,100"
충청북도,영동군,용산면,220,"725,300","630,000"
충청북도,진천군,진천읍,315,"933,200","828,800"
충청북도,진천군,덕산읍,318,"939,500","834,000"
충청북도,진천군,초평면,312,"926,800","823,800"
충청북도,진천군,문백면,304,"910,100","810,200"
충청북도,진천군,이월면,325,"954,200","845,800"
충청북도,진천군,광혜원면,327,"958,400","849,200"
충청북도,괴산군,괴산읍,269,"833,200","726,700"
충청북도,괴산군,칠성면,262,"817,800","714,200"
충청북도,괴산군,청안면,289,"875,900","782,200"
충청북도,괴산군,사리면,285,"867,400","775,000"
충청북도,음성군,음성읍,297,"893,000","795,800"
충청북도,음성군,금왕읍,310,"922,800","820,400"
충청북도,음성군,소이면,292,"882,400","787,300"
충청북도,음성군,원남면,289,"875,900","782,200"
충청북도,음성군,맹동면,316,"935,200","830,600"
충청북도,음성군,대소면,326,"956,200","847,400"
충청북도,음성군,삼성면,329,"962,400","852,500"
충청북도,음성군,생극면,303,"908,000","808,400"
충청북도,음성군,감곡면,308,"918,500","817,000"
충청남도,천안시 동남구,풍세면,320,"943,600","837,500"
충청남도,천안시 동남구,광덕면,319,"941,600","835,700"
충청남도,천안시 동남구,성남면,312,"926,800","823,800"
충청남도,천안시 동남구,병천면,308,"918,500","817,000"
충청남도,천안시 동남구,동면,310,"922,800","820,400"
충청남도,천안시 동남구,봉명동,321,"945,800","839,000"
충청남도,천안시 동남구,청룡동,315,"933,200","828,800"
충청남도,천안시 서북구,성거읍,324,"952,000","844,100"
충청남도,천안시 서북구,직산읍,324,"952,000","844,100"
충청남도,천안시 서북구,입장면,331,"966,700","855,900"
충청남도,천안시 서북구,백석동,322,"947,900","840,700"
충청남도,천안시 서북구,부성1동,320,"943,600","837,500"
충청남도,천안시 서북구,부성2동,321,"945,800","839,000"
충청남도,공주시,유구읍,318,"939,500","834,000"
충청남도,공주시,탄천면,300,"901,700","803,200"
충청남도,공주시,계룡면,306,"914,400","813,500"
충청남도,공주시,의당면,296,"890,800","794,200"
충청남도,공주시,정안면,312,"926,800","823,800"
충청남도,공주시,금학동,300,"901,700","803,200"
충청남도,보령시,웅천읍,329,"962,400","852,500"
충청남도,보령시,주교면,348,"1,002,100","884,400"
충청남도,보령시,오천면,360,"1,024,100","901,800"
충청남도,아산시,염치읍,338,"981,300","867,800"
충청남도,아산시,송악면,331,"966,700","855,900"
충청남도,아산시,탕정면,331,"966,700","855,900"
충청남도,아산시,음봉면,334,"972,900","861,000"
충청남도,아산시,둔포면,342,"989,600","874,400"
충청남도,아산시,영인면,342,"989,600","874,400"
충청남도,아산시,인주면,358,"1,020,500","899,200"
충청남도,아산시,선장면,348,"1,002,100","884,400"
충청남도,아산시,도고면,346,"998,000","881,100"
충청남도,아산시,신창면,340,"985,500","871,100"
충청남도,아산시,온양3동,329,"962,400","852,500"
충청남도,아산시,온양4동,333,"970,900","859,400"
충청남도,서산시,대산읍,394,"1,084,400","949,700"
충청남도,서산시,지곡면,387,"1,072,100","940,000"
충청남도,서산시,성연면,383,"1,065,000","934,500"
충청남도,서산시,석남동,384,"1,066,800","935,800"
충청남도,논산시,연무읍,277,"851,500","761,100"
충청남도,논산시,성동면,290,"878,200","784,000"
충청남도,논산시,광석면,290,"878,200","784,000"
충청남도,논산시,부적면,288,"873,800","780,300"
충청남도,논산시,가야곡면,277,"851,500","761,100"
충청남도,논산시,취암동,285,"867,400","775,000"
충청남도,당진시,합덕읍,360,"1,024,100","901,800"
충청남도,당진시,송악읍,375,"1,050,800","923,300"
충청남도,당진시,고대면,386,"1,070,400","938,700"
충청남도,당진시,석문면,392,"1,080,900","947,000"
충청남도,당진시,순성면,367,"1,036,600","911,800"
충청남도,당진시,신평면,368,"1,038,300","913,400"
충청남도,당진시,송산면,378,"1,056,200","927,500"
충청남도,금산군,제원면,243,"776,300","674,300"
충청남도,금산군,추부면,253,"798,400","698,100"
충청남도,부여군,규암면,306,"914,400","813,500"
충청남도,부여군,남면,317,"937,500","832,300"
충청남도,부여군,초촌면,295,"888,800","792,500"
충청남도,서천군,장항읍,300,"901,700","803,200"
충청남도,서천군,마서면,302,"905,900","806,800"
충청남도,청양군,정산면,323,"949,900","842,400"
충청남도,홍성군,홍성읍,354,"1,013,400","893,400"
충청남도,홍성군,금마면,347,"1,000,000","882,700"
충청남도,홍성군,갈산면,366,"1,034,800","910,400"
충청남도,홍성군,구항면,361,"1,025,800","903,500"
충청남도,예산군,예산읍,345,"995,800","879,300"
충청남도,예산군,삽교읍,345,"995,800","879,300"
충청남도,예산군,광시면,341,"987,600","872,700"
충청남도,예산군,고덕면,352,"1,009,800","890,600"
충청남도,예산군,신암면,349,"1,004,200","886,000"
충청남도,예산군,오가면,342,"989,600","874,400"
충청남도,태안군,원북면,412,"1,116,000","974,600"
전라북도,전주시 덕진구,팔복동,251,"793,900","694,700"
전라북도,전주시 덕진구,여의동,258,"809,200","707,100"
전라북도,군산시,임피면,288,"873,800","780,300"
전라북도,군산시,서수면,285,"867,400","775,000"
전라북도,군산시,성산면,292,"882,400","787,300"
전라북도,군산시,월명동,296,"890,800","794,200"
